ID,,Motivation,Confidence,Problem Interpretation,Preference,Issues,Q#,,
,,I,S,O,C,,2b,"This ensures benefits of both economic profit and the lake for the next 49 years, without over polluting the lake so people of the town can enjoy the lake. ",
,,I,,,,,3a,I was trying to get the highest economic benefit per unit of waste.  ,
,,I,S,,,,3b,"Since the economic benefit of waste was higher during the first two periods, it made more sense to pollute more during the first period, slightly less in the second period, and very little in the third.  ",
,,I,,,T,,4a,I clicked at each point in the slider to see if there was a drop off point in the graph where water quality decreased dramatically for very little marginal gain in economic profit.,
,,I,S,,T,,4b,"I found the drop off point occurred at .27 units of waste/year and since it dropped the water quality significantly at that point, it didn't make sense to go any further into economic profit creation because the lake would be useless to the town.",
,,I,,,C,,5a,I tried to maximize economic profit while minimizing pollution.  ,
,,I,S,,T,,5b,I noticed there were certain drop off points where a large amount of water quality was sacrificed for very little economic gain.  I stopped polluting at the point where water quality dropped severely for little economic gain.,
,,I,,,T,,6a,I tried to maximize water quality and economic gain through looking for points  during each period where water quality drastically changed.,
,,I,S,,C,,6b,It ensures sustainability of both the factory and the lake.  ,
,,I,,,T,,7a,"I tried to find the pivotal point where drastic changes in reliability, water quality, or economic benefit occurred in order to maximize reliability, economic benefit, and reliability.",
,,I,S,,T,,7b,"After playing with the slider, I noticed key points where water quality, economic benefit, and reliability changed significantly.  Through noticing these changes, I was able to maximize water quality, economic benefit, and reliability.",
,,I,S,,T,,8a,"Through noticing drop off points in each category and trying to get the most economic benefit compared to the loss in reliability and water quality, I was able to maximize each category while producing economic benefit.",
,,I,S,,C,,8b,This strategy pays attention to the problems with water quality while still focusing on the generation of economic benefit.,
,,I,S,,T,,9a,"I tried to maximize each category without ruining the water quality.  Through noticing the changes occurring per each unit of waste, I noticed key points where water quality was damaged significantly in each period.",
,,I,S,,C,,9b,"It helps ensure that the water quality remains high, while still making sure economic profit keeps the town running.  ",
240129,d,I,S,,,,1a,Generate as much A as possible.,
,,I,S,,,,1b,I used this strategy because the only goal given to me was to generate as much A as possible. There was no information regarding consequences of generating too much A or having excess A.,
,,I,,,,,2a,Manage production across both periods to obtain a higher total A.,
,,I,S,,,,2b,I used this strategy to obtain a higher total A across the entire planning period.,
,,I,S,O,,,3a,"My strategy was to choose the option that produced higher amounts of A in the first two periods and stagnated production in the third period, to ensure we did not overproduce.",
,,I,S,,,,3b,"I used this strategy because although a higher total amount of A is desired, this strategy manages A better across the entire planning period.",
,,I,,,C,,4a,To find a point on the graph where a relatively equal amount of A and B were being produced.,
,,I,S,,C,,4b,"By using this strategy, I found the point at which increasing the production of A would lower the production of B, which is what we do not want.",
,,I,S,,C,,5a,My strategy was to choose an option that produced equal amounts of A and B.,
,,I,,,C,,5b,I used this strategy because it seemed that the slider options produced a point at which producing more A would decrease the production of B.,
,,I,S,,C,,6a,My strategy was to find the option that produces both the most A and B.,
,,I,,,C,,6b,I used this strategy because the only other option besides this one produced more A but less B.,
,,I,,,,,7a,"I was trying to manage the product of A, B, and C over the entire planning period.",
,,I,S,,C,,7b,"I used this strategy because the option I chose produced a relatively high amount of A, which would lead to moderate production of both B and C.",
,,I,,,C,,8a,I was trying to produce enough A to support moderate production of B and C.,
,,I,S,,,,8b,"I used this strategy because it best manages A, B and C over the entire planning period.",
,,I,,,,,9a,"To manage production of A, B and C best across all planning periods.",
,,I,S,,,,9b,I used this strategy because the option I chose had optimal amounts of production. Increasing production of any line decreased production of the others in the other options.,
240130,a,I,,,,,1a,Create the highest economic benefit by determining the amount of waste released by the lake.,
,,P,,,,,1b,"The directions told me that to succeed, I needed to choose the highest economic benefit possible.",
,,I,,O,C,,2a,Create the highest economic benefit without releasing the maximum amount of waste.,
,,I,,O,C,,2b,"The directions told me to choose what will give me the highest economic benefit, but I also feel I should not release the maximum amount of waste possible into the lake.",
,,I,S,,,,3a,"I used the same strategy as before. This time, I staggered the amount of waste released. I released a lot at first, then lowered the amount each year. ",
,,I,S,O,C,,3b,"Economic benefit was still high, but the lake was given time to restore itself, and by the last time period there was less than half the potential waste released",
,,I,S,,T,,4a,"I chose the highest amount of economic benefit possible, right before the water quality of the lake plummeted.",
,,I,,,T,,4b,"I wanted to keep the water quality from dropping rapidly, while stilling allowing for economic benefit.",
,,I,,,,,5a,"I released more waste in the first period, and less in the second. I tried to keep both aspects as high as possible without the other dropping.",
,,I,,,C,,5b,I used this strategy to avoid one aspect becoming very low. I wanted to keep the water quality high enough while still producing some economic benefit.,
,,I,,,T,,6a,"I tried to position the sliders in a way that would cause the most economic benefit without destroying the quality of the lake. I paid attention to which slider made the water quality drop without increasing economic benefit that much, and which benefitted the economy without harming the water too much.",
,,I,,,C,,6b,"I used the strategy in order to decide upon the best option for both aspects, so that both the economy and the water would benefit.",
,,I,,,T,,7a,I was trying to find the amount of waste that would maximize the three aspects. I was more focused on ensuring that the water would not be permanently algae-ridden.,
,,I,S,Am,S,,7b,"I used this strategy because if the lake is permanently unusable, people might move out and then the economic benefit would not even be as important. ",
,,I,,,C,,8a,I was trying to position the sliders so that the three aspects were maximized. ,
,,I,,,C,,8b,"Again, I was more focused on the water quality and reliability, so I tried to maximize economic benefit. I positioned them so that the water quality and reliability were not low, and economic benefit was still decent.",
,,I,S,,T,,9a,"My strategy was to increase all of the sliders until I saw no more economic benefit, only environmental  harm.",
,,I,,,C,,9b,I wanted to maximize economic benefit without doing considerable harm to the water.,
240131,b,I,,O,C,,1a,Initially I wanted to get some economic benefits to the town while still trying to keep waste low.,
,,I,,,,,1b,To better the town ,
,,I,,O,,,2a,I think if we release more waste in the first 50 years then maybe they will come up with alternative solutions in the next 50 years.,
,,I,,,,,2b,To maintain economic benefits in the short run,
,,I,,,,,3a,I wanted to release more waste in the first years and decrease it less and less each of the three periods.,
,,I,,O,C,,3b,I think this will be good for the economy and also reduce the waste that is going in at the same time.,
,,I,,,C,,4a,I wanted high economic benefits while still trying to keep water quality good.,
,,I,,,,,4b,I used this because although the water eliminates waste on its own i still did not want to overload it with waste,
,,I,,Am,,,5a,more economic benefits in the short run so that we have time to build new businesses to get economic benefits elsewhere,
,,I,,Am,,,5b,to keep economic benefits high initially while we are looking for a solution to the water quality issue,
,,I,,,,,6a,more waste as the years go on ,
,,I,,Am,,,6b,maybe in the coming years the waste will be more environmentally friendly,
,,I,,,,,7a,try to keep waste down,
,,I,,Am,,,7b,natural waste is unreliable we can try to find economic benefits in a different way,
,,I,,Am,,,8a,less waste initially to see how much natural waste there is,
,,I,,Am,,,8b,if we can see how much natural waste there is then we can look for a way to cut down on our own waste,
,,I,,,C,,9a,keep water quality and economic benefits high,
,,I,,,,,9b,to benefit the town,
240132,c,,,,,,1a,I chose to go with a number not too high and not too low. ,
,,I,,O,,,1b,I chose an option that did not have much risk.,
,,,,,,,2a,I chose a number higher and a number lower for each period.,
,,,,,C,,2b,To balance out the time periods.,
,,,C,,,,3a,I did not have a strategy,
,,,C,,,,3b,I did not have a strategy,
,,I,,,C,,4a,Balance the strategies ,
,,I,,,,,4b,I thought this strategy was rational ,
,,,C,,,,5a,I did not have a strategy,
,,,C,,,,5b,I did not have a strategy,
,,,,,C,,6a,I tried to balance the chart as best as I can.,
,,I,,,,,6b,I thought this strategy was rational.,
,,,C,,,,7a,There was no strategy,
,,,C,,,,7b,There was no strategy,
,,,C,,,,8a,There was no specific strategy,
,,,C,,,,8b,There was no strategy,
,,,,,C,,9a,I tried to balance the chart,
,,I,,,,,9b,I thought it was rational,
240133,d,I,,,,,1a,Maximize A,
,,I,S,,,,1b,Becuase higher amounts of A were desired,
,,I,,,,,2a,Maximize the inputs,
,,I,S,,,,2b,This maximized A,
,,I,,,,,3a,Maximize inputs,
,,I,S,,,,3b,This maximized A,
,,I,,,C,,4a,Maximize A and B,
,,I,S,,T,,4b,"Since the drop off on B occurred right after 2 switched to 3, I chose right before the drop occurrred",
,,I,,,C,,5a,Maximize A and B,
,,I,,,C,,5b,"A went up with period 1, and B went down with period 2, so I tried to maximize both",
,,I,,,C,,6a,Maximize A and B,
,,I,,,,,6b,A seemed to move with period 1 and B seemed to move inversely with period 2,
,,I,,,C,,7a,Maximize A B and C,
,,I,,,T,,7b,"There seemed to be a drop off between 2 and 5, where B and C were quite high and A was low, but then a smaller increase in A led to a detrimental loss in B and C",
,,I,,,C,,8a,Maximize A B and C,
,,I,,,,,8b,A seemed to increase with period 1 while B and C seemed to decrease with Period 2,
,,I,,,C,,9a,Maximize A B and C,
,,,C,,C,,9b,I tried putting all 3 in the middle because it was hard to try and find a pattern here,
240134,c,,S,,,,1a,i looked at how much of an increase there was between 9-10 and moved accordingly,
,,I,C,O,,,1b,"something didnt seem right about having 10 completely, so i went just below",
,,I,,O,,,2a,maximize without using too much,
,,,,D,,,2b,10 total for each seems like alot considering you still arent getting full orange,
,,I,,O,S,,3a,maximize a and b without maximizing c,
,,I,,O,,,3b,dont want to overuse/ maximize each one,
,,I,,,C,,4a,get a and b to be about equal,
,,I,,,C,,4b,"if a is too high, b is too low and vice versa so I tried to get them to be about the same",
,,I,,,C,,5a,keep a and b equal,
,,I,,Sd,C,,5b,so that too much of one of the other wouldnt be used+,
,,I,,,C,,6a,keep a and b equal,
,,I,,,C,,6b,to not make one or the other too much higher or lower,
,,I,,,S,,7a,try to get at least two of the 3 to be in the right direction without taking away from the other too much,
,,I,,,,,7b,maximize as much as you can while limit losses,
,,I,,,S,,8a,try to get at least 2 without taking too much away from the third,
,,I,,,,,8b,to maximize without loosing to much,
,,I,,,S,,9a,maximize two out of the three,
,,I,,,C,,9b,mazimize without loosing too much from one,
240136,b,I,,O,C,,1a,balance needs of factory and town,
,,I,,O,C,,1b,seemed to benefit both parties fairly,
,,I,,,,,2a,seemed best decision,
,,I,,,,,2b,reduce amount of waste in the second half of 100 years ,
,,I,,,,,3a,eventually reduce amount of waste,
,,I,,,,,3b,seemed fair since waste was reduced from the company over time,
,,I,,,C,,4a,not harm water quality too much while still making economic profit,
,,I,,,C,,4b,a little more on economic benefit but still not overly harming quality of water,
,,I,,,C,,5a,balance needs of both parties ,
,,I,,,,,5b,"release less waste in beginning, then allow for more waste in second half",
,,I,,,,,6a,not harm water quality too much ,
,,I,,,,,6b,decreased amount of waste over time ,
,,I,,Am,,,7a,do not want chance of filtration system breaking,
,,I,,,,,7b,did not want too much algae,
,,I,,,,,8a,decrease amount of waste released over time while still making economic profit,
,,I,,,,,8b,did not want to harm lake too much,
,,I,,,,,9a,gradually decreased the amount of waste generated over time,
,,I,,,C,,9b,I used this strategy because I wanted to balance the needs of the town and account for the other waste being put into the lake,
240137,b,I,,,,,1a,I was trying to maximize the economic rewards for the city by using the visual aid.,
,,I,S,,,,1b,I used this strategy because the return on the economic return was greater than the rest of the examples.,
,,I,,,,,2a,I was trying to maximize the economic benefits by releasing as much waste as possible so the factory may produce more.,
,,I,S,,,,2b,I used this strategy since the goal of the project is so maintain the high standard of economic activity.,
,,,S,,,,3a,"Instead of choosing the highest setting on the bar, this time I chose to increase the waste in the first 30 years, slightly reduce the waste dumpage in the next 30 years, and significantly reduce the waste output in the last 30 years.",
,,I,S,O,C,,3b,"I used this strategy to combine both interests of maximizing economic profit and reducing waste. Concentrating on the first 60 years, and allowing the last 30 years to clean up the damage seems reasonable.",
,,I,S,,C,,4a,I chose this to stay in the middle of economic strategy and environmental cause.,
,,I,S,,C,,4b,I chose this to make sure both needs were being met.,
,,,,,,,5a,"after reviewing the example graphs, I was trying to alter the graph that had the closest result to what I was looking for.",
,,I,,,C,,5b,I used this strategy of altering numbers similar to my desired result so that both economic interest as well as environmental concern could be addressed.,
,,I,,,,,6a,I was trying to model my answers to reflect the example that showed that the point on the graph was more centered if the waste was released towards the end of the 100 year period instead of the beginning.,
,,I,S,,,,6b,I used this strategy because the example was not close to where the desired intersection between water quality and waste output was.,
,,I,,,,,7a,I was trying to minimize the waste by keeping the sentiment in mind that the lake might be ruined forever.,
,,I,S,,S,,7b,I used this strategy because monetary value has less of important that natural resources.,
,,I,S,,C,,8a,I used this strategy to keep the waste levels low in the beginning of the hundred year period and increase waste output in the end to make up for any economic losses,
,,I,S,,C,,8b,I used this strategy because it satisfies the environmental desire of keeping waste levels low and make up for this by keeping output higher towards the end. This process averages itself out in the end.,
,,I,,,C,,9a,my strategy included trying to balance out the waste over split periods periodically increasing so that the both interests of economic activity and environmental production could be met.,
,,I,S,,C,,9b,I used this strategy to meet the needs of the goals by protecting economic activity however while still paying attention to the environment,
240138,c,I,,,,,1a,"In essence, I was trying to get the maximum amount for A. ",
,,I,S,,,,1b,"In order to receive the highest amount for A, the bar had to be set to a maximum. ",
,,I,S,,,,2a,"In order to achieve full efficiency for A, I chose to put both sliders at max for both of the planning stages. ",
,,I,S,,,,2b,"Since the use of the sliders has no cost, in order to achieve full efficiency, I chose to put both the sliders at a rate of 10. ",
,,I,S,,,,3a,Contracted all three sliders at a rate of 10 to achieve the maximum amount for A over the entire planning process. ,
,,I,S,,,,3b,"In order to achieve the optimal amount for A, all three sliders in all three periods had to be set at a rate of 10. ",
,,,,,C,,4a,I split the setting in the middle. 5/10 for both A & B. ,
,,I,S,,C,,4b,"Since both A and B are desirable but the main point of the plan is not to make A higher at the expense of B, vice versa. I decided to split it down the middle leaving both A & B at optimal heights.",
,,I,S,,C,,5a,"In both periods, I decided to set them at a .5% level, giving both A & B an equal optimal ratio.",
,,I,S,,C,,5b,The reason I chose this strategy is because its the most optimal/efficient way of dividing A & B without compromising either. ,
,,I,,Sd,C,,6a,"Trying to balance points A & B in all three stages. Therefor, I left all three settings right down the middle.",
,,I,S,Sd,C,,6b,"In order to not compromise either A or B, I decided to set the three bars at 5, keeping equal chances for both A & B. ",
,,I,S,,C,,7a,"In order to keep A, B, & C at an optimal level, I decided to keep them at an equal setting of 5. ",
,,I,S,Sd,C,,7b,"Even though B & C are not related, they both are sub-parts of A, which in turn means, if I give any one of them attention, I compromise the other. To avoid unequal standings for A, B & C, I gave them all equal stand points. ",
,,I,S,Sd,C,,8a,"Since B & C are subparts of A and dependent on the score given to A. In order to keep A, B & C equal, I decided to give them 5 points throughout the planning phase. ",
,,I,S,,C,,8b,"The point is to keep A, B, & C at optimal lengths without compromising either of them. In order to do that, I decided to split them down the middle. ",
,,I,S,,C,,9a,"In order to keep all parties at an optimal level, I decided to give them a 5 over the entire planning stage. ",
,,I,S,,C,,9b,"To keep them optimal, a,b & c must remain at constant pace. ",
240139,a,I,,,,,1a,I tried to have more than 70% economic benefit but not dump the max amount of the waste,
,,I,,O,C,,1b,"I used this strategy of not obtaining maximum economic benefit because my role is an environmental planner, not the factory owner. Even though success is measured on economic benefit, my values are supposed to be in the interest of the environment. So I wanted to be both successful economically while not harming the environment completely",
,,I,S,O,C,,2a,"I first figured out which time period provided the largest economic benefit per waste dumped. The first 50 years provided more economic benefit, so I used the max waste dumping in the first period. Since the second period did not provide as much economic benefit, the trade off for dumping is not worth it as much. I did not put the slider at max to preserve some of the environment over the 100 years",
,,I,S,,,,2b,I used the strategy that provided the most economic benefit per amount of waste dumped. The dumped waste is not constant over the 100 years though.,
,,I,S,,,,3a,"Again, I first determined which time periods provided the most economic benefit per amount of waste dumped. The first period provided the most economic benefit, then the second period, and then the third period. ",
,,I,S,,,,3b,I used the strategy of dumping all of the waste during the first two periods because they provided the most economic benefit. The third period was not dumping all of the waste because it did not provide as much economic benefit per amount of waste dumped.,
,,I,S,,T,,4a,I checked all of the levels of waste dumping to visualize the path of the line on the graph. I noticed that at 0.27 the graph the water quality would drop drastically while providing minimal additional economic benefit,
,,I,,,C,,4b,I wanted to find the place that maximized water quality and provided the least marginal economic benefit,
,,I,,,T,,5a,I charted the path of each slide separately and find if there were thresholds where one axis would decrease drastically without providing benefit for the other aspect,
,,I,S,,T,,5b,"I started with the first slider and saw after 0.35 the water quality fell sharply. After leave the first slider at 0.35, I moved the second slider to a place until the orange dot quickly dropped in water quality without much economic benefit",
,,I,,,T,,6a,"The first slide provided the most environmental benefit per economic benefit and each slider was worse for the environment. I wanted to push the first slider until there was a sharp drop in economic benefit, and then slide the second one until there was a sharp drop.",
,,I,,,,,6b,I wanted to make sure each slider was taking advantage of the most environmental benefit per unit of economic benefit.,
,,I,,,C,,7a,I wanted to find a safe strategy that was moderate across all three aspects,
,,I,,,C,,7b,There was too much uncertainty to prioritize my decision and I did not want to be skewed towards one.,
,,I,S,,T,,8a,I found places in each slider where there were large jumps in any direction. I prioritized water quality and reliability. The second slider did not have much economic benefit per water quality,
,,I,S,,S,,8b,I wanted to prioritize water quality and reliability because the uncertainty makes me plan for a more long-term perspective,
,,I,S,,T,,9a,I found places where each slider moved sharply in any direction. Then I maximized each slider starting with the top one until the sharp drop. This helped to capture the maximum water quality and reliability per unit of economic benefit,
,,I,,,C,,9b,I prioritized water quality and economic benefit because the uncertainty made me want to have a long-term sustainability perspective.,
240140,d,I,,Sd,,,1a,I was trying to use the lowest amount of A possible.,
,,I,,Sd,,,1b,I want my A supply to last multiple rounds so I did not want to use a huge amount initially.,
,,I,,Sd,,,2a,"I tried to use more of A, but still not the majority of it.",
,,I,,Sd,,,2b,"I allowed more because I had 2 periods rather than 1, but still want to save it for more rounds. ",
,,I,,,,,3a,I was trying to increase A by its amount (plus some) per period.,
,,I,,,,,3b,"I was told that more A is desirable by period, so I tried to plan for that.",
,,I,S,,,,4a,I chose the option with the greatest amount of A.,
,,I,,,S,,4b,I assumed that more A or more B would be preferable as opposed to an equal amount of both.,
,,I,,Sd,C,,5a,I was trying to have high A for the first period and high B for the second period. ,
,,I,,Sd,C,,5b,"I wanted the two periods to compensate for one another. Period 1 had high A and low B, so Period 2 had low A and high B.",
,,I,,,S,,6a,I used medium A and low B.,
,,I,C,,,,6b,"I wanted to try something different. I do not know if my prior strategies were successful or not, so I decided to try something new. That would be not quite having a pattern.",
,,I,,,C,,7a,I chose to go with High A and High C.,
,,I,,,,,7b,The dot on the panel with variables A and C looked like strong placement.,
,,I,,,,,8a,My strategy was to show increasing amounts from period 1 to 2.,
,,,C,,,,8b,"I was not sure what to do, so there is not much strategy behind it. ",
,,,,,,,9a,I showed increasing amounts from period 1 to 2 to 3.,
,,,C,,,,9b,Not much strategy behind this decision.,
240141,b,,,,,,1a,"For this round I was trying to keep waste around 30%. When looking through the examples, I noticed greater increases in the orange region of the economic impact chart. ",
,,,S,,,,1b,I used this strategy because I the results in the orange remained pretty central with 0.03 waste/year. ,
,,I,,,,,2a,I understood the simulation better this round. I decided to target mid-range economic benefits. I adjusted the first bar to where it had around 0.05 impact and made the second a little lower. ,
,,I,,,,,2b,"I did this because I thought it was important to make sure the town was in decent economic standing, while the company was able to continue to emit waste for half of a century.",
,,I,,,,,3a,My strategy for this round was to seek a high economic benefit for the first two parts and then a low one for the third.,
,,I,,O,C,,3b,"I used this strategy hoping that by the time the third wave is coming, the company, town, and river will all have found a solution to balance the three.",
,,I,,,C,,4a,My strategy was very similar to that of last rounds. I wanted to achieve economic benefits for 55 of the 100 years in hopes that a solution could be found. I also kept in mind the water quality to limit the algae.  ,
,,I,S,O,,,4b,I used this strategy because I thought it made sense in the short-term and long-term. ,
,,I,S,,,,5a,My strategy was to try to ween the company off of producing waste by the second half of the 100 years.,
,,I,S,,C,,5b,"I used this strategy because I considered all three elements: the factory, the lake, and the city. The factory must run to make the town run, therefore the economic benefits must remain positive, all while not hurting the ecosystem within the lake by maintaining trash. ",
,,,S,,,,6a,"This round, my strategy was to have the factory produce above average waste at 0.07 to start and then my the end of the century get that down to 0.03. ",
,,I,,,,,6b,"Instead of taking a short-term, immediate approach, I thought long-term. In order to reduce waste production into the lake, everyone must come up with a plan. ",
,,I,S,,C,,7a,My strategy for this round was to keep the water pollution and the economic benefits at medium levels.,
,,I,S,,S,,7b,"I used this strategy because I considered the risk in reliability and thought if it wasn't considered before, it doesn't have to be now",
,,I,,,C,,8a,My strategy for this round was to keep the economic benefits high with some reliability and then lower the water contamination over time. ,
,,I,,O,,,8b,I used this strategy because as an environmental planner I wanted to instill a gradual change. One that would not necessarily crumple the town's economy.,
,,I,,,C,,9a,"For this strategy, I followed that of prior rounds. I went for high economic benefits at first followed by lower water contamination in later years. ",
,,I,,,C,,9b,"I used this strategy because I thought that as an environmental planner, with the town and the lake in mind, I needed to find a way to balance the impacts of all three. Maybe a strategy can be found down the road to fix the water contamination in the lake. ",
240142,c,I,,,,,1a,"I was trying to have a high amount of A, but not too high. ",
,,I,S,,,,1b,I used this strategy because I felt as though it was a good amount high of a. ,
,,I,S,,,,2a,My strategy for this plan was to make sure to increase A throughout the two periods. I put the most time into period 1 and then less into period two to increase A.,
,,I,S,,,,2b,"I used this strategy because I noticed that period 1 had the most impact on A, so I really wanted to maximize it. I realized that period two did not affect A as much, so i did not maximize it as much. ",
,,I,,,,,3a,"Again, I had period 1 have the highest strength, and then for period 2 and 3, I gave them the same strengths. ",
,,I,S,,,,3b,I used this strategy because period 1 had the biggest impact on A right away and then for period 2 and 3 they did not have as much as an impact on A so I reduced them. ,
,,I,,,S,,4a,I used the strategy of having a high amount of B and a lower-medium amount of A. ,
,,I,,,C,,4b,I used this strategy because I felt as though it maximized both A and B to the best of their ability. ,
,,I,,,C,,5a,I was trying to get both A and B to some type of equilibrium. ,
,,I,,,C,,5b,I used this strategy because I felt as if I could maximize both A and B by making them semi-equal. ,
,,I,,,C,,6a,I tried to make A and B equal by playing around with the sliders. ,
,,I,S,,C,,6b,I used this strategy because I wanted them to both be maximized.  ,
,,I,S,,,,7a,I chose a sem-high level of A. ,
,,I,,,,,7b,I used this strategy because I felt as though it maximized the materials best. ,
,,,S,,C,,8a,I gave period two a higher strength than period 1 to make the dot go somewhere in the middle.,
,,I,,,C,,8b,"I used this strategy because I was trying to maximize A, B, and C to the best of my ability. ",
,,I,,,C,,9a,"I used the strategy of trying to find a midway point between A, B, and C to maximize them all to the best of my ability.",
,,I,,,C,,9b,"I used this strategy because I wanted to maximize A, B, and C all at once without hurting one more than the other. ",
240144,a,I,,O,,,1a,I weight the economic benefit slightly more than the environmental waste. ,
,,I,,O,C,,1b,"I am trying to balance the economic benefit with the environmental pollution, with considering the efficiency deal with the waste in the future. ",
,,,,,,,2a,I drag the slider of the first period to the extreme and do not produce anything in the second period.,
,,I,S,,,,2b,I saw that this strategy produce more economics benefits compared to draw the half way in both period in terms of the same pollution level. ,
,,,,,,,3a,I drag the first slider to the extreme and little bit right on the second period and nothing on the third period.,
,,I,,,,,3b,The bar of economic benefit tell me that it may be the optimal strategy. ,
,,I,,,,,4a,I am try to play wit the bar to see which combination give me the higher indifference curve. ,
,,I,S,,,,4b,Because it seems that it is the optimal strategy,
,,I,S,,,,5a,"Once you more the bar, the water quality with drop dramatically. Therefore, i discovered that give that water quality, increasing the economic will not harm the water quality further. So I drag both bar to the extreme.",
,,I,S,,,,5b,Because it seems that it gives me the optimal solution. ,
,,I,,,,,6a,I try to figure out the optimal combination using the bar,
,,I,S,,,,6b,It seems that it gives me the optimal output. ,
,,,,,C,,7a,I am try to figure out the balance by moving the bar,
,,I,S,,,,7b,It seems that it gives me the optimal output. ,
,,I,,,,,8a,"Given the first bar unmoved, I am try to move the second bar to estimate the optimal outcome by comparing those three variable.",
,,I,S,,,,8b,It seems that it gives me the optimal output. ,
,,,,,,,9a,I am controlling the two variable and trying to move the first bar. ,
,,I,S,,,,9b,It seems that it gives me the optimal output. ,
240145,d,I,,,,,1a,Have the highest number of A generated.,
,,,,D,,,1b,"Whenever I was moving the slider, the output was always 0,10,2,3,7,1.",
,,I,,,,,2a,Generate the highest number for A,
,,,,D,,,2b,I had the same issue as the first scenario where whenever I moved the sliders the output would not change.,
,,I,,,,,3a,Generate the highest number for A.,
,,,,D,,,3b,Output is not changing whenever I move the sliders.,
,,I,,,C,,4a,Generate the highest output of both B and A.,
,,,,D,,,4b,"Again, the output is not changing as I move the slider, so I am putting it in the middle.",
,,I,,,C,,5a,Generate the highest output of both A and B.,
,,,,D,,,5b,The location of the slider is not changing the output.,
,,I,,,C,,6a,Generate the highest output of both A and B.,
,,,,D,,,6b,The location of the slider is not changing the output.,
,,I,,,C,,7a,"Maximize output for A, B, and C.",
,,I,S,,S,,7b,I chose period 2 because it maximized output for B and C. It had the highest general output.,
,,I,,,C,,8a,"Maximize output for A, B, and C.",
,,I,S,,,,8b,I chose peiod 2 and 3 because 1 and 2 had high B and C and it looked as though the dot was trending toward a high A as well.,
,,I,,,C,,9a,"Maximize output for A,B, and C",
,,I,S,,,,9b,"I chose 2,3,2 because 1,2,1 it already had high outputs for B and C and I thought if I slightly increased them that A would increase too.",
240146,a,I,,,,,1a,"place the waste at 70%, as well as the economic benefit at 70%",
,,I,,,,,1b,"I was trying to save some waste from the factory, because if go to full production, the environment might not be a best place to earn future profit, and some space for the economic growth, so that the factory may also be benefit from economic innovation in the future",
,,,,,,,2a,"have more waste/economic benefit for 1st half, while less for second half.",
,,I,,O,,,2b,"the small town business need more growth at the beginning, to gain a stable customer and let the community be ware, so after a relative fast growth, the factory can slow down the production with machine repair, introduce new equipment and wait for environment to restore.",
,,I,,,,,3a,"relative large waste for 1st, lower for 2nd and the largest for the 3rd",
,,I,,O,C,,3b,"the factory is on a relative large waste production, to gain a large economic benefit as startup, and slow down for restoration, and then boost for the last few year to get a higher economic benefit with the environment being ready to get more waste",
,,I,,,S,,4a,keep water quality as high as possible,
,,I,S,,T,,4b,"since I'm an environmental planner, the first thing I need to think about tis the environment, the environment has its own pace of keep waster itself safe and clean, as I move the bar, the dot had a great fall once the waster go over 0.027 per year, after that, the economic benefit keep raising while the water quality keeps at a low rate. without the lake that can take the waster, the economic will going bad eventually, and no one would like to work for the company/factory.",
,,,,,,,5a,"more in 1st half, less in2nd half",
,,I,S,,T,,5b,"as moving the bar, I see that the economic benefit not changing much when the first half of period's water being high and benefit being low, as I put the second half waste down, and moving the first half bar forward I see the change in economic benefit had some jump; since the water remain low, the factory need to get more economic benefit as possible.",
,,,,,,,6a,"only have 1st being waste releasing , and minimum for last two",
,,I,S,,,,6b,"as I see from the graph, only the first bar would make a big difference on the economic benefit vs. water waste, while the last two bar did not change significantly; if I keep water quality at optimal in the 1st bar, the economic change still small while also have a bad water quality, so only produce waste in the 1st, to gain more economic benefit.",
,,I,,,C,,7a,keep economic benefit and water quality at high level,
,,I,S,,T,,7b,"the reliance has a huge fall once move the bar, so the optimal is to keep water and economic benefit at a relatively high level, since reliance is also unpredicatable",
,,I,,,C,,8a,"keep reliability and economic benefit at middle range, and water at a high level",
,,I,S,,C,,8b,"the waste is not release at a very high level to keep factory run and water clean, and also get above- middle benefit",
,,,,,,,9a,"low at first two, high waste at last bar.",
,,I,,Sd,S,,9b,"trying to keep economic low and reliability & water quality high at the first two period, and then get a big economic benefit by sacrificing the reliability",
240147,c,,,,,,1a,I was just trying to get the orange bar as close as possible to the middle of A.,
,,,,,,,1b,I chose this strategy because the directions told me to manage A and I thought making the orange bar as close as possible to A would satisfy the goal.,
,,,,,,,2a,I was thinking of a way to get the orange bar as close as I can to A. ,
,,,,,,,2b,I chose this strategy because it didn't say to fill up the whole bar. ,
,,,S,,,,3a,I chose to fill up the bar all the way.,
,,,,,,,3b,I chose this strategy because I didn't think the meeting halfway was the right thing to do.,
,,I,,,C,,4a,I was trying to get in the middle of achieving the right amount of A and the right amount of B rather than getting a lot of only just one.,
,,I,,,C,,4b,I chose this strategy because I wanted to be able to balance both options rather than excelling in just one. ,
,,I,,,C,,5a,I was trying to get right in between the A and B.,
,,I,,,C,,5b,I chose this strategy because I would like to be able to do both A and B rather than doing well in one and poorly in the other. ,
,,I,,,C,,6a,I was trying to find the middle of both A and B,
,,I,,,C,,6b,I chose this strategy because I wanted to be able to manage a somewhat equal amount of A and B,
,,I,,,C,,7a,I tried to achieve an equal amount for all three,
,,I,,,C,,7b,I chose this strategy because I wanted to be balanced.,
